percent = 1,percent = 3,percent = 5
2.852493131254225e-05,2.804457995975751e-05,2.8086242855793308e-05
0.00012706422932272102,0.00012659729462878233,0.0001265234885455762
2.4787948891675278e-05,2.4728508350882982e-05,2.475563144885694e-05
1.9511927021574173e-06,1.9520046332670948e-06,1.948395798382223e-06
7.134358996959892e-08,7.343726317978219e-08,7.294676926925223e-08
3.6957748719825864e-09,3.6987222970179226e-09,3.7032489221913852e-09
5.807768045767599e-10,5.584451806950259e-10,5.596589385478563e-10
1.709367770619034e-10,1.6759574028001712e-10,3.051330444594441e-10
3.104462175160822e-10,2.946651771727756e-10,4.0063871932171485e-10
4.105136547226438e-10,3.4455222484228633e-10,4.741653273987386e-10
4.584518936380753e-10,3.4388668444795657e-10,4.4005409929535793e-10
4.477402757242662e-10,4.428998890129284e-10,5.597572720539106e-10
4.3561821058723685e-10,3.675353503552562e-10,5.302838535067881e-10
4.515702491136125e-10,3.444299912073598e-10,4.27767409955986e-10
4.2924494834605256e-10,4.151596095595607e-10,5.603501763657327e-10
4.5513486435862795e-10,4.1008537982224387e-10,5.556770953268371e-10
4.5377376219922853e-10,4.53637763664594e-10,3.6246504582608537e-10
4.407128838318573e-10,3.268989880836051e-10,3.5602517729146387e-10
4.5943651650095867e-10,4.985217247161404e-10,5.544019743633428e-10
4.376690816251025e-10,4.4241598056784774e-10,4.453143516851123e-10
4.2166355814131204e-10,4.2472084838690885e-10,3.064748089899511e-10
4.231478636922504e-10,4.910685105487113e-10,5.679409411938255e-10
4.540698224804226e-10,4.697881808297822e-10,6.965733044432518e-10
4.3155747150375377e-10,4.056915745861493e-10,4.395047309570738e-10
4.536082596582214e-10,4.138039175045606e-10,3.9015697056238673e-10
4.1275677093476027e-10,4.834994261139932e-10,4.937810404297213e-10
4.3389012292616026e-10,4.1863980097901737e-10,3.9420806902625695e-10
4.449828720417476e-10,4.727933819011588e-10,6.264160612026976e-10
4.218779426452614e-10,4.009944207614517e-10,4.4605005157424097e-10
4.5701854665813417e-10,3.807250742199504e-10,4.78551084297611e-10
4.381293081660825e-10,3.6601056024327746e-10,5.122097783631066e-10
4.5014834283289925e-10,3.5355260745212193e-10,3.9452399213747517e-10
4.15976791736329e-10,3.6097923139072554e-10,3.2658770608426744e-10
4.3399035298773106e-10,3.657876837647798e-10,3.8504527473152113e-10
4.373231343358576e-10,4.4199257009480706e-10,3.5641507290938933e-10
4.334963444188711e-10,3.772575784092832e-10,3.6733922793472293e-10
4.1350869645614655e-10,3.025110689924253e-10,3.115266196359078e-10
4.379661530940917e-10,3.6915825323534926e-10,4.713807492966443e-10
4.0340928442201476e-10,3.377752842536463e-10,3.411746671426693e-10
4.1688908848477864e-10,3.243116741935112e-10,4.3104137728731587e-10
4.1434869605867367e-10,3.1641671209462754e-10,2.8863355535895744e-10
4.4147188572755586e-10,3.643039258840516e-10,7.009275125475577e-10
4.270800313206943e-10,4.853942054509011e-10,6.489419962103116e-10
4.433416056306269e-10,6.750847910025286e-10,6.474557750913323e-10
4.443076224123867e-10,5.354651025077448e-10,4.395400917191953e-10
4.5678956325633947e-10,5.427767394685164e-10,2.934594300913426e-10
4.793458643221488e-10,5.643680088575397e-10,5.219804037454244e-10
4.917027374700724e-10,4.778803477048028e-10,4.777594601065492e-10
4.4437276408543877e-10,3.7167882109676805e-10,4.21849773128067e-10
4.4527784364859745e-10,4.1830616367969836e-10,4.1073435725329655e-10
4.812576729823629e-10,4.58449772977754e-10,4.39030177536272e-10
4.842418312229081e-10,4.1331101591367673e-10,3.108473524611325e-10
4.537191449843979e-10,4.1873678850659857e-10,4.968261572293995e-10
4.1603760383144487e-10,4.828250937397603e-10,4.5375162416681474e-10
4.2952840092652265e-10,4.5373419399060124e-10,5.120121937512726e-10
4.1735299878340254e-10,4.90279188494324e-10,5.153938888022849e-10
4.3284509628843687e-10,3.710238945653353e-10,3.8893140513354973e-10
4.859283583422817e-10,4.5107672241082883e-10,3.201284465262558e-10
4.49695655846977e-10,4.3151312537540667e-10,4.018778280244276e-10
4.572613879285035e-10,3.104972589141713e-10,3.517399411056251e-10
4.4033285526983e-10,3.312478241193879e-10,3.514831270633215e-10
4.3301377822922026e-10,4.1952059638086474e-10,3.761032081246565e-10
4.141603411251328e-10,4.660055972234718e-10,4.4327268519408726e-10
4.1839303009780014e-10,3.5682685527667733e-10,2.658858158444471e-10
4.583002652214848e-10,4.164786353405234e-10,3.616164872818006e-10
4.5708192711826513e-10,4.2358875886789165e-10,2.929812651372732e-10
4.544949902142772e-10,4.681843472278745e-10,3.690877259695608e-10
4.2776720876486646e-10,4.146959193732383e-10,3.500354221545243e-10
4.2464833219284457e-10,4.639889135580512e-10,2.923052266186524e-10
4.3064009549688707e-10,3.5384184175334545e-10,3.0149239539511226e-10
4.266653524372796e-10,3.1298028496187593e-10,5.334711330472884e-10
4.4242590403272606e-10,3.993466244543144e-10,7.257878420412556e-10
4.36975934623819e-10,4.074635377646021e-10,5.416133193098453e-10
4.4662661339263505e-10,4.435231859201821e-10,5.293439899639515e-10
4.1670441058715086e-10,5.53764321634715e-10,2.299478739895399e-10
3.8078228672817494e-10,4.785216893411435e-10,3.7614954507137786e-10
3.747931963720636e-10,3.289008846288822e-10,3.282917733501137e-10
3.5860232951379256e-10,4.563167465368612e-10,4.715561602416133e-10
4.1032385452702153e-10,3.817383915546191e-10,4.511420966267909e-10
4.243499312485697e-10,4.914722343571667e-10,4.0624266999185417e-10
4.1285359710096856e-10,4.752667657397163e-10,4.624395607387261e-10
4.5956743064318377e-10,5.135770137046461e-10,4.4917996642975015e-10
4.5329271334820954e-10,3.8867122869329975e-10,4.1710339649171406e-10
4.452317658840311e-10,3.3799797626780095e-10,5.390059138634239e-10
4.125054856016892e-10,4.0603532060340433e-10,4.165055547257961e-10
4.298681197063095e-10,5.273167116432176e-10,4.2382087895617637e-10
4.469661703110017e-10,3.32422969302019e-10,3.220022736677781e-10
4.5853840054023435e-10,4.199937425747235e-10,3.5448342957664253e-10
4.148284264709208e-10,3.218832835993229e-10,3.215837993366463e-10
4.22346064938485e-10,3.461261572904148e-10,3.0808130847315195e-10
4.603782051256297e-10,4.20905455213893e-10,3.152924018094332e-10
5.051922446305343e-10,4.845255154153449e-10,3.454816755256752e-10
4.5251309525256213e-10,4.645770653243378e-10,5.721928453997972e-10
4.5865645336135864e-10,6.170707622709069e-10,4.4731468218631636e-10
4.43533473607533e-10,4.391352982782375e-10,3.5864492613053177e-10
4.464277980115061e-10,3.3648457086777486e-10,4.0408494960856406e-10
4.443149254880271e-10,3.6724980358075686e-10,4.3280526913332777e-10
4.046004319857e-10,4.1432857946203853e-10,2.902990095421248e-10
3.7628745599377725e-10,3.23610577164819e-10,4.586458591523578e-10
4.2461764785906695e-10,3.326251339730488e-10,6.097843787024581e-10
